"site.no","station.name","LATITUDE","LONGITUDE","owner","last.date","rtd","median","anom","perc","perc.anom","curr.dec"
"12281","MUNGLINUP MELALEUCA",-33.5989,120.7556,"BOM",2021-05-18,38.6,20.75,17.85,186,86,9
"12295","COPPIN ROCK",-31.1131,118.6092,"BOM",2021-05-18,50,10.7,39.3,467.3,367.3,10
"12312","KATTA BAREGA",-33.5917,122.4503,"BOM",2021-05-18,31.7,20.9,10.8,151.7,51.7,8
"12320","SOUTHERN CROSS AIRFIELD",-31.2364,119.3547,"BOM",2021-05-18,33.4,9.1,24.3,367,267,9
"7011","BURNERBINMAH",-28.785,117.3592,"BOM",2021-05-18,39.7,7.25,32.45,547.6,447.6,10
"7027","GABYON",-28.2508,116.3389,"BOM",2021-05-18,16.5,8.75,7.75,188.6,88.6,8
"7068","NINGHAN STATION",-29.4258,117.2894,"BOM",2021-05-18,53.1,9.5,43.6,558.9,458.9,10
"8005","BARBERTON",-30.7306,116.0197,"BOM",2021-05-18,14.7,18.9,-4.2,77.8,-22.2,5
"8008","BERKSHIRE VALLEY 2",-30.5847,116.1342,"BOM",2021-05-18,14.9,15.8,-0.9,94.3,-5.7,5
"8009","BINDI BINDI EAST",-30.6297,116.3847,"BOM",2021-05-18,14.6,16.9,-2.3,86.4,-13.6,5
"8013","BOWGADA",-29.3317,116.1414,"BOM",2021-05-18,19.5,13.5,6,144.4,44.4,7
"8025","CARNAMAH",-29.69,115.8853,"BOM",2021-05-18,22.6,13.85,8.75,163.2,63.2,6
"8028","NABAWA",-28.5008,114.7897,"BOM",2021-05-18,19,15.8,3.2,120.3,20.3,6
"8037","COOROW POST OFFICE",-29.8833,116.0208,"BOM",2021-05-18,32.2,19.05,13.15,169,69,8
"8041","DARTMOOR",-27.9775,115.2103,"BOM",2021-05-18,11.1,10.15,0.949999999999999,109.4,9.4,6
"8044","DONGARA",-29.2531,114.9333,"BOM",2021-05-18,42.6,18.75,23.85,227.2,127.2,8
"8050","GERALDTON WATER SUPPLY",-28.7758,114.6239,"BOM",2021-05-18,28.8,18.9,9.9,152.4,52.4,7
"8051","GERALDTON AIRPORT",-28.7961,114.6961,"BOM",2021-05-18,25.4,18.95,6.45,134,34,6
"8057","GREEN GROVE",-29.55,115.0669,"BOM",2021-05-18,31.5,22.6,8.9,139.4,39.4,7
"8060","SOUTH HOLMWOOD",-29.0375,115.5528,"BOM",2021-05-18,4.8,12.8,-8,37.5,-62.5,3
"8066","KOKARDINE",-30.7022,117.0592,"BOM",2021-05-18,29,14.6,14.4,198.6,98.6,8
"8072","LATHAM POST OFFICE",-29.7592,116.4425,"BOM",2021-05-18,12.5,12,0.5,104.2,4.2,6
"8075","LYNTON",-28.2103,114.305,"BOM",2021-05-18,27,17.65,9.35,153,53,7
"8077","HIGHFIELDS",-29.6017,115.9386,"BOM",2021-05-18,23.5,15.3,8.2,153.6,53.6,7
"8078","MALLEE VALE",-29.2453,115.76,"BOM",2021-05-18,10.1,14.5,-4.4,69.7,-30.3,4
"8084","MANAVI",-30.2619,116.2078,"BOM",2021-05-18,22.1,13.95,8.15,158.4,58.4,7
"8085","MILING POST OFFICE",-30.4931,116.3606,"BOM",2021-05-18,17.1,15.5,1.6,110.3,10.3,6
"8086","MURRUMBAH",-29.1511,115.2408,"BOM",2021-05-18,15,20.5,-5.5,73.2,-26.8,5
"8088","MINGENEW POST OFFICE",-29.1922,115.435,"BOM",2021-05-18,10.7,16.2,-5.5,66,-34,5
"8091","MOORA",-30.6428,116.0058,"BOM",2021-05-18,15.2,17.1,-1.9,88.9,-11.1,5
"8095","MULLEWA",-28.5381,115.5128,"BOM",2021-05-18,6.8,13.1,-6.3,51.9,-48.1,4
"8096","MUMBY",-28.1525,114.5689,"BOM",2021-05-18,13.9,16.6,-2.7,83.7,-16.3,5
"8100","NORTHAMPTON",-28.3461,114.6361,"BOM",2021-05-18,17.2,16.35,0.849999999999998,105.2,5.2,6
"8104","OGILVIE",-28.1544,114.6692,"BOM",2021-05-18,13.3,13.3,0,100,0,5
"8107","PERENJORI POST OFFICE",-29.4403,116.2833,"BOM",2021-05-18,18,13.85,4.15,130,30,7
"8113","RIVERSIDE",-27.8328,114.735,"BOM",2021-05-18,19.2,6.15,13.05,312.2,212.2,7
"8116","SANDSPRINGS",-28.7892,114.9417,"BOM",2021-05-18,18,19.5,-1.5,92.3,-7.7,5
"8120","TENINDEWA",-28.6214,115.3644,"BOM",2021-05-18,8,12.2,-4.2,65.6,-34.4,4
"8121","THREE SPRINGS",-29.5356,115.7614,"BOM",2021-05-18,23.5,18,5.5,130.6,30.6,7
"8124","TARDUN",-28.7939,115.7497,"BOM",2021-05-18,8.3,10.8,-2.5,76.9,-23.1,5
"8130","WATHEROO",-30.3,116.0581,"BOM",2021-05-18,20.5,17.4,3.1,117.8,17.8,7
"8137","WONGAN HILLS",-30.8931,116.7181,"BOM",2021-05-18,19.6,18.7,0.900000000000002,104.8,4.8,6
"8141","WILLI GULLI NORTH",-28.3811,114.4531,"BOM",2021-05-18,21.5,15.5,6,138.7,38.7,6
"8143","YANDANOOKA",-29.2883,115.6314,"BOM",2021-05-18,7.4,16.3,-8.9,45.4,-54.6,4
"8147","YUNA",-28.325,114.9586,"BOM",2021-05-18,7.7,15.7,-8,49,-51,5
"8157","CANNA",-28.8989,115.8617,"BOM",2021-05-18,9.7,15,-5.3,64.7,-35.3,4
"8159","MAYSBORO",-30.9917,116.3542,"BOM",2021-05-18,23.8,19.3,4.5,123.3,23.3,6
"8200","ERADU",-28.6936,115.0408,"BOM",2021-05-18,8.1,13.7,-5.6,59.1,-40.9,4
"8225","ENEABBA",-29.8197,115.2706,"BOM",2021-05-18,31.3,25.25,6.05,124,24,6
"8233","FIVE GUMS - WALBULA STUD",-29.53,116.0625,"BOM",2021-05-18,20.1,11.7,8.4,171.8,71.8,6
"8240","COOLANGATTA 2",-28.8942,115.4517,"BOM",2021-05-18,6.1,12.6,-6.5,48.4,-51.6,3
"8251","KALBARRI",-27.7128,114.1614,"BOM",2021-05-18,55.9,11.15,44.75,501.3,401.3,10
"8254","KONDUT",-30.7103,116.7728,"BOM",2021-05-18,20.2,13.3,6.9,151.9,51.9,7
"8261","MINDARA",-29.0656,115.1739,"BOM",2021-05-18,14.8,17.9,-3.1,82.7,-17.3,5
"8264","WANARRA",-29.5161,116.8006,"BOM",2021-05-18,30.9,10.1,20.8,305.9,205.9,9
"8273","ARENA",-29.3625,115.4447,"BOM",2021-05-18,17.7,18.6,-0.900000000000002,95.2,-4.8,5
"8288","GHURKA",-28.2575,114.6033,"BOM",2021-05-18,17.2,18.6,-1.4,92.5,-7.5,5
"8294","WANDANA",-28.2094,115.285,"BOM",2021-05-18,6.9,9.55,-2.65,72.3,-27.7,4
"8296","MORAWA AIRPORT",-29.205,116.0231,"BOM",2021-05-18,10.4,12.2,-1.8,85.2,-14.8,5
"8297","DALWALLINU",-30.2775,116.6703,"BOM",2021-05-18,39.8,12.65,27.15,314.6,214.6,10
"9006","CHELSEA",-30.6269,115.7783,"BOM",2021-05-18,19.5,22.6,-3.1,86.3,-13.7,5
"9007","CHIDLOW",-31.8633,116.2642,"BOM",2021-05-18,34.6,27.6,7,125.4,25.4,7
"9014","DANDARAGAN WEST",-30.6975,115.5817,"BOM",2021-05-18,33.3,25.95,7.35,128.3,28.3,7
"9018","GINGIN",-31.3481,115.9022,"BOM",2021-05-18,38.6,30.05,8.55,128.5,28.5,7
"9021","PERTH AIRPORT",-31.9283,115.9739,"BOM",2021-05-18,61.6,26.5,35.1,232.5,132.5,8
"9023","JARRAHDALE",-32.3306,116.0539,"BOM",2021-05-18,37.4,50,-12.6,74.8,-25.2,5
"9025","MIDLAND",-31.8689,116.0167,"BOM",2021-05-18,31.3,29.9,1.4,104.7,4.7,6
"9029","MUCHEA TREE FARM",-31.5842,115.9642,"BOM",2021-05-18,25.7,31.4,-5.7,81.8,-18.2,5
"9030","MUNDARING",-31.8989,116.1558,"BOM",2021-05-18,39.1,37.75,1.35,103.6,3.6,6
"9033","NEW NORCIA POST OFFICE",-30.9742,116.2103,"BOM",2021-05-18,17,18.95,-1.95,89.7,-10.3,5
"9037","BADGINGARRA RESEARCH STN",-30.3392,115.5378,"BOM",2021-05-18,21.2,21.95,-0.75,96.6,-3.4,5
"9039","SERPENTINE",-32.3547,116.0033,"BOM",2021-05-18,30.8,37.85,-7.05,81.4,-18.6,5
"9040","WANNAMAL",-31.1442,116.0519,"BOM",2021-05-18,23.2,23.4,-0.199999999999999,99.1,-0.9,5
"9053","PEARCE RAAF",-31.6681,116.0175,"BOM",2021-05-18,21.6,29.7,-8.1,72.7,-27.3,4
"9054","TAMBREY",-30.6044,115.5414,"BOM",2021-05-18,26.6,26.6,0,100,0,5
"9066","GIDGEGANNUP 3",-31.7919,116.1964,"BOM",2021-05-18,32.2,36.6,-4.4,88,-12,5
"9105","WANNEROO",-31.7333,115.7917,"BOM",2021-05-18,43,35.3,7.7,121.8,21.8,7
